,Unnamed: 0,Close,High,Low,Open,time,volume,MA_20,MA_200,ATR,ExpMA,kelt_upper,kelt_lower
490,490,108.625,108.625,108.625,108.625,2003-12-02 05:00:00,1,108.89025000000004,115.53690000000005,0.0,109.12758201493062,109.12758201493062,109.12758201493062
491,491,108.195,108.195,108.195,108.195,2003-12-03 05:00:00,1,108.87375000000004,115.47635000000004,0.0,109.03876468017532,109.03876468017532,109.03876468017532
492,492,108.305,108.305,108.305,108.305,2003-12-04 05:00:00,1,108.85025000000003,115.41655000000004,0.0,108.96888232968243,108.96888232968243,108.96888232968243
493,493,107.69,107.69,107.69,107.69,2003-12-05 05:00:00,1,108.79500000000003,115.35722500000003,0.0,108.84708401256981,108.84708401256981,108.84708401256981
494,494,107.75,107.75,107.75,107.75,2003-12-07 05:00:00,1,108.77475000000001,115.29792500000003,0.0,108.74259982089649,108.74259982089649,108.74259982089649
495,495,107.365,107.365,107.365,107.365,2003-12-08 05:00:00,1,108.7275,115.23590000000004,0.0,108.61139983795397,108.61139983795397,108.61139983795397
496,496,107.025,107.025,107.025,107.025,2003-12-09 05:00:00,1,108.66525000000001,115.17257500000005,0.0,108.4603141391012,108.4603141391012,108.4603141391012
497,497,108.265,108.265,108.265,108.265,2003-12-10 05:00:00,1,108.63225,115.11155000000004,0.0,108.44171279252014,108.44171279252014,108.44171279252014
498,498,108.045,108.045,108.045,108.045,2003-12-11 05:00:00,1,108.63075,115.05180000000004,0.0,108.40393062180394,108.40393062180394,108.40393062180394
499,499,107.74,107.74,107.74,107.74,2003-12-12 05:00:00,1,108.554,114.98897500000004,0.0,108.34069913401308,108.34069913401308,108.34069913401308
500,500,108.305,108.305,108.305,108.305,2003-12-14 05:00:00,1,108.52199999999998,114.93057500000005,0.0,108.33729921648803,108.33729921648803,108.33729921648803
501,501,107.565,107.565,107.565,107.565,2003-12-15 05:00:00,1,108.46174999999998,114.86745000000005,0.0,108.26374691015583,108.26374691015583,108.26374691015583
502,502,107.505,107.505,107.505,107.505,2003-12-16 05:00:00,1,108.3975,114.80382500000005,0.0,108.1914852996648,108.1914852996648,108.1914852996648
503,503,107.415,107.415,107.415,107.415,2003-12-17 05:00:00,1,108.2965,114.73857500000005,0.0,108.11753431874435,108.11753431874435,108.11753431874435
504,504,107.575,107.575,107.575,107.575,2003-12-18 05:00:00,1,108.20499999999997,114.67777500000005,0.0,108.06586438362584,108.06586438362584,108.06586438362584
505,505,107.84,107.84,107.84,107.84,2003-12-19 05:00:00,1,108.14799999999998,114.62190000000005,0.0,108.04435348994718,108.04435348994718,108.04435348994718
506,506,107.66,107.66,107.66,107.66,2003-12-21 05:00:00,1,108.07574999999997,114.56747500000007,0.0,108.0077483956665,108.0077483956665,108.0077483956665
507,507,107.535,107.535,107.535,107.535,2003-12-22 05:00:00,1,107.97199999999995,114.50990000000007,0.0,107.96272473893636,107.96272473893636,107.96272473893636
508,508,107.395,107.395,107.395,107.395,2003-12-23 05:00:00,1,107.85724999999995,114.45172500000008,0.0,107.90865571618052,107.90865571618052,107.90865571618052
509,509,107.34,107.34,107.34,107.34,2003-12-24 05:00:00,1,107.75699999999998,114.39545000000007,0.0,107.85449802892522,107.85449802892522,107.85449802892522
510,510,107.28,107.28,107.28,107.28,2003-12-25 05:00:00,1,107.68974999999998,114.34422500000007,0.0,107.79978393093235,107.79978393093235,107.79978393093235
511,511,107.48,107.48,107.48,107.48,2003-12-26 05:00:00,1,107.65399999999997,114.29937500000005,0.0,107.7693283184626,107.7693283184626,107.7693283184626
512,512,107.33,107.33,107.33,107.33,2003-12-28 05:00:00,1,107.60524999999998,114.25070000000007,0.0,107.72748752622807,107.72748752622807,107.72748752622807
513,513,107.035,107.035,107.035,107.035,2003-12-29 05:00:00,1,107.57249999999996,114.19877500000008,0.0,107.66153633325396,107.66153633325396,107.66153633325396
514,514,107.065,107.065,107.065,107.065,2003-12-30 05:00:00,1,107.53824999999998,114.14775000000007,0.0,107.60472334913453,107.60472334913453,107.60472334913453
515,515,106.915,106.915,106.915,106.915,2003-12-31 05:00:00,1,107.51574999999998,114.09730000000008,0.0,107.53903541112172,107.53903541112172,107.53903541112172
516,516,107.39,107.39,107.39,107.39,2004-01-01 05:00:00,3,107.53399999999996,114.05022500000007,0.0,107.52484156244346,107.52484156244346,107.52484156244346
517,517,106.94,106.94,106.94,106.94,2004-01-02 05:00:00,2,107.46774999999998,114.00332500000006,0.0,107.46914236602026,107.46914236602026,107.46914236602026
518,518,107.06,107.06,107.06,107.06,2004-01-04 05:00:00,2,107.41849999999997,113.95620000000007,0.0,107.43017642639929,107.43017642639929,107.43017642639929
519,519,106.255,106.255,106.255,106.255,2004-01-05 05:00:00,2,107.34424999999999,113.90717500000007,0.0,107.31825486198031,107.31825486198031,107.31825486198031
520,520,106.215,106.215,106.215,106.215,2004-01-06 05:00:00,2,107.23975,113.86100000000006,0.0,107.21318297036314,107.21318297036314,107.21318297036314
521,521,106.265,106.265,106.265,106.265,2004-01-07 05:00:00,2,107.17474999999999,113.80670000000005,0.0,107.12287983032854,107.12287983032854,107.12287983032854
522,522,106.185,106.185,106.185,106.185,2004-01-08 05:00:00,2,107.10874999999999,113.75420000000005,0.0,107.03355794172582,107.03355794172582,107.03355794172582
523,523,106.37,106.37,106.37,106.37,2004-01-09 05:00:00,2,107.05649999999999,113.69857500000006,0.0,106.97036194727573,106.97036194727573,106.97036194727573
524,524,106.72,106.72,106.72,106.72,2004-01-11 05:00:00,2,107.01374999999999,113.64620000000006,0.0,106.94651795229709,106.94651795229709,106.94651795229709
525,525,106.695,106.695,106.695,106.695,2004-01-12 05:00:00,2,106.95649999999998,113.59532500000006,0.0,106.92256386160213,106.92256386160213,106.92256386160213
526,526,106.245,106.245,106.245,106.245,2004-01-13 05:00:00,2,106.88574999999999,113.54240000000006,0.0,106.85803397002097,106.85803397002097,106.85803397002097
