,Close,High,Low,Open,time,volume
3963,107.9875,108.356,107.13,107.3265,2014-10-23 04:00:00,37019
3964,108.1565,108.28,107.784,107.99,2014-10-24 04:00:00,25533
3965,108.0005,108.39,107.862,108.3555,2014-10-26 04:00:00,5264
3966,107.81,108.09,107.606,108.005,2014-10-27 04:00:00,28108
3967,108.1645,108.237,107.692,107.805,2014-10-28 04:00:00,23519
3968,109.051,109.122,107.941,108.1695,2014-10-29 04:00:00,33847
3969,109.402,109.47,108.794,109.0555,2014-10-30 04:00:00,38115
3970,112.3345,112.479,109.334,109.396,2014-10-31 04:00:00,82714
3971,112.7375,113.007,112.65,112.7315,2014-11-02 04:00:00,18338
3972,113.5055,114.214,112.572,112.737,2014-11-03 05:00:00,61632
3973,114.0185,114.125,113.17,113.51,2014-11-04 05:00:00,55015
3974,114.398,115.513,113.926,114.02,2014-11-05 05:00:00,79791
3975,115.4485,115.461,114.059,114.3975,2014-11-06 05:00:00,74129
3976,114.5955,115.626,114.258,115.4485,2014-11-07 05:00:00,67478
3977,114.1565,114.569,114.043,114.5065,2014-11-09 05:00:00,17024
3978,115.2725,115.308,113.859,114.155,2014-11-10 05:00:00,44769
3979,115.613,116.104,115.031,115.2705,2014-11-11 05:00:00,42002
3980,115.6765,115.883,114.884,115.615,2014-11-12 05:00:00,40587
3981,116.0615,116.198,115.312,115.6805,2014-11-13 05:00:00,33391
3982,116.276,116.823,116.02,116.065,2014-11-14 05:00:00,29961
3983,115.798,117.056,115.46,116.4705,2014-11-16 05:00:00,21392
3984,116.58,116.786,115.462,115.796,2014-11-17 05:00:00,30720
3985,117.334,117.418,116.342,116.584,2014-11-18 05:00:00,36757
3986,118.4695,118.542,117.231,117.331,2014-11-19 05:00:00,38099
3987,117.812,118.978,117.359,118.471,2014-11-20 05:00:00,53269
3988,117.866,118.122,117.386,117.811,2014-11-21 05:00:00,31437
3989,117.905,117.949,117.58,117.918,2014-11-23 05:00:00,6192
3990,117.96,118.58,117.787,117.8995,2014-11-24 05:00:00,28977
3991,117.818,118.292,117.662,117.9585,2014-11-25 05:00:00,27952
3992,117.307,117.903,117.27,117.8195,2014-11-26 05:00:00,26389
3993,118.2895,118.338,117.236,117.3105,2014-11-27 05:00:00,21849
3994,118.617,118.772,118.076,118.2895,2014-11-28 05:00:00,14224
3995,118.8835,119.028,118.72,118.7525,2014-11-30 05:00:00,8866
3996,118.4605,119.143,117.866,118.883,2014-12-01 05:00:00,39900
3997,119.2305,119.44,118.38,118.4575,2014-12-02 05:00:00,24495
3998,119.901,119.948,119.13,119.227,2014-12-03 05:00:00,24177
3999,120.0595,120.252,119.34,119.8995,2014-12-04 05:00:00,34370
4000,121.4745,121.688,119.982,120.0625,2014-12-05 05:00:00,32568
